Word,Its more frequent meanings,Type
mā,clean,Formal
maha,many,Formal
mahana,warm,Formal
māhanga,twin(s),Formal
mahara,"thought, memory",Formal
māharahara,"worried, anxious",Formal
mahara,,Formal
māhau,for you,Formal
mahere,"map, plan",Formal
mahi ,"to do, work, make",Formal
mahia,mahi + passive suffix -a,Formal
mahue,to be left behind,Formal
māhunga,head,Formal
mai,towards the speaker in space or in orientation,Formal
māia,"capable, brave, bold",Formal
makariri,cold,Formal
makawe,"hair of the head (human), used in plural: ngā makawe",Formal
makere,to fall,Formal
makere,to come off,Formal
makere,to get down from,Formal
māku,"for me, by me",Formal
mākū,wet,Formal
māmā,"mother, mum, mummy (informal)",Formal
māmā,easy,Formal
mamae,"hurt, sore",Formal
mana,"prestige, authority",Formal
māna,"for him / her, by him / her",Formal
manaaki,"to look after, to show hospitality towards",Formal
manawa,heart,Formal
manga,stream,Formal
manga,branch,Formal
mano,thousand,Formal
manu,bird,Formal
manuhiri,guest,Formal
Māori,"Māori (people, language culture)",Formal
māori,"normal, ordinary, fresh (of water)",Formal
māra,garden,Formal
marae,marae,Formal
marama,"month, moon",Formal
mārama,"clear, understand",Formal
maramara,"crumbs, small pieces",Formal
marangai,"rain, storm",Formal
mārika,"indeed, quite, certainly; āe mārika",Formal
maringi,to spill,Formal
mārō,"hard (of texture, personality)",Formal
maroke,dry,Formal
mata,"face, surface",Formal
mata,"point, blade",Formal
mātaki ,to watch,Formal
mātakitaki,"to watch, to observe, examine, inspect",Formal
mataku,"scared, afraid",Formal
mātao,cold,Formal
matapihi,window,Formal
matau,right (direction),Formal
matau,fish hook,Formal
mātau,"we, us (variant of mātou)",Formal
mātau,"to know, understand",Formal
mātauranga,"education, knowledge",Formal
mate,"to be sick, ill, dead",Formal
matekai,hungry,Formal
matimati,"finger, toe",Formal
mātou,"we, us (three or more, excluding addressee)",Formal
matū,"fat, chemical",Formal
matua ,"parent, father ",Formal
mātua ,"parents, fathers (plural form of matua)",Formal
mau,"to take, bring",Formal
mau ,to be caught,Formal
mau ,to wear clothes,Formal
māu,"for you, by you; ā category possession",Formal
māua,"we, us (two people, excluding addressee)",Formal
mauī,left (direction),Formal
maumahara,to remember / remember,Formal
maunga,mountain,Formal
mauri,life spirit,Formal
mauria,mau + passive suffix -ria,Formal
me,"Various meanings, uses, eg with, like, should",Formal
mea ,thing,Formal
mea,to say,Formal
meatia,mea + passive suffix -tia,Formal
mehemea,"if (presuming not; cf. ki te, if, expressing simple uncertainty)",Formal
mēnā,if,Formal
meneti,minute,Formal
mere,short club,Formal
mere,"bush, shrub",Formal
mīere,honey,Formal
mīharo,to wonder at; amazing,Formal
mihi,to greet,Formal
mīhini,machine,Formal
miraka,milk,Formal
miriona,million,Formal
miro,thread,Formal
mita,metre,Formal
mīti,meat,Formal
mō,"for, unrealised, ō category possession, about",Formal
moana,sea,Formal
moe ,to sleep,Formal
moe,to marry,Formal
moemoeā ,to dream,Formal
moenga,bed,Formal
mōhio,to know,Formal
mōhiotanga,knowledge,Formal
mōhiotia,mōhio + passive suffix -tia,Formal
moka,"end, margin, piece",Formal
mōkai,pet,Formal
mokemoke,lonely,Formal
moko,Term of address to a grandchild: E moko,Formal
moko,tattoo,Formal
moko,lizard,Formal
mokomoko,lizard,Formal
mokopuna,grandchild,Formal
mōku,"for me, unrealised, o category possession",Formal
momo,"type, kind",Formal
mōna,"for him / her, unrealised, o category possession",Formal
moni,money,Formal
motokā,"car, motorcar",Formal
motu,island,Formal
motu,"cut, cut off",Formal
motuhake,special,Formal
moutere,island,Formal
mua,"front, before",Formal
mura,"blaze, flame",Formal
muri,"behind, after",Formal
mutu,"be ended, finished (but not necessarily completed)",Formal
mutunga,"end, mutu + noun ending -nga",Formal
nā,"Various meanings, eg by, belonging to (ā category), by way of ",Formal
nāianei,now,Formal
nāku,"mine, realised possession, ā category",Formal
nama,number,Formal
nāna,"by him / her, belonging to him / her",Formal
nanakia,rascal,Formal
nau,"come, go: as in: Nau mai!",Formal
nāwai,"presently, in due course, after a while",Formal
nē,"tag question, translated variously depending on the English structure; eh?",Formal
nei,"here, by speaker",Formal
neke,to move,Formal
nekeneke,to move gradually,Formal
ngā,"the, plural",Formal
ngahere,forest,Formal
ngākau,"heart, as in seat of the affections and feelings",Formal
ngārara,"reptile, monster",Formal
ngaro,"to be lost, missing, gone",Formal
ngaru,wave,Formal
ngata,snail,Formal
ngata,to be satisfied,Formal
ngātahi,together,Formal
Ngāti,"tribal name prefix, as in: Ngāti Porou, Ngāti Kahungunu",Formal
ngau,to bite,Formal
ngaungau,"to chew, a snack",Formal
ngāwari,easy,Formal
ngāwari,"soft, supple of texture",Formal
ngāwari,"kind, pleasant of personality",Formal
ngenge,tired,Formal
ngeru,cat,Formal
ngunguru,to growl,Formal
ngutu,"lip, lips",Formal
niho,tooth,Formal
nō,"Various meanings: from, of, belonging to (ō category)",Formal
noa,"Various meanings, eg only, just, merely",Formal
noho,to sit,Formal
noho,to stay,Formal
noho,to live,Formal
noke,worm,Formal
nōku,"mine, realised possession, ō category",Formal
nōna,"his, her, realised possession, ō category",Formal
nui ,"big, great, many",Formal
nuinga,majority,Formal
nuku,to move,Formal
nunui,big (plural form),Formal
o,"Has several uses: of, belonging to",Formal
ō,"your, one person, neutral category possession, plural ",Formal
oho,to wake up,Formal
ohorere,"to start suddenly, be startled",Formal
ōku,"mine, plural, ō category possession",Formal
oma,"to run, escape",Formal
ōna,"his / her, plural, ō category possession",Formal
one,"beach, sand",Formal
oneone,"earth, soil",Formal
ono,six,Formal
ope,group travelling together,Formal
ora ,"alive, well, healthy, safe",Formal
oranga,"health, life",Formal
oreore,"to shake, quiver",Formal
ōrite,to be the same as,Formal
otaota,"vegetation, herbs, grass, weeds",Formal
oti,to be completed,Formal
otirā,"but, on the other hand",Formal
ōu,"yours, one person, ō category possession, plural",Formal
pā,"to touch, to affect",Formal
pā,Term of address for father: E pā,Formal
pā,a fortified settlement,Formal
pae,to be cast ashore,Formal
pae,"to lay horizontally; horizon, ridge of hills",Formal
pae,circumference,Formal
paepae ,container,Formal
paepae,speakers’ bench on the marae,Formal
pahi,bus,Formal
pāhi,"purse, to pass",Formal
pahū,"to explode, burst; bomb",Formal
pahū,drum,Formal
pai,good,Formal
painga,"benefit, skill, good qualities",Formal
paipa,pipe,Formal
pakanga,"to fight, battle, war, hostility",Formal
pakari ,strong,Formal
pakari ,"mature, ripe",Formal
pakaru,"broken, shattered",Formal
pakaru,broken down,Formal
Pākehā,Pakehā,Formal
pakeke,"grown up, adult",Formal
pakeke,"hard, stiff",Formal
pākete,packet,Formal
pākete,bucket,Formal
paki ,"to slap, to pat",Formal
pakipaki ,"to applaud, to clap; applause",Formal
pakitara,wall,Formal
pakiwaitara,story,Formal
paku ,small,Formal
pakupaku,very small,Formal
pāmu,farm,Formal
pana,"to push away, to expel",Formal
panana,banana,Formal
panga,to throw,Formal
panga,"puzzle, riddle",Formal
pāngarau,mathematics,Formal
pango,black,Formal
pani,orphan; to be orphaned,Formal
pānui,to read ,Formal
pānui,"to publish, advertise; notice, advertisement",Formal
paoro,ball,Formal
papa,"floor, ground, flat surface",Formal
pāpā,"father, uncle",Formal
parakuihi,breakfast,Formal
parāoa,"bread, flour",Formal
parauri,brown,Formal
pare,"headband, headdress",Formal
pare,"to ward off, to divert",Formal
pari,cliff,Formal
parirau,wing,Formal
paru,"dirt, mud, dirty",Formal
